2001,Oliver,1969-12-31,598 Fringilla. St.,Beausejour,6000 ,2019-02-14,0006-09-14
2002,Beverly,1969-12-31,1475 Quam Avenue,La Reina,00-19,0012-07-20,2016-02-19
2003,Tobias,1969-12-31,P.O. Box 273, 5651 Ultrices Road,Le Ha,2019-02-18,'NULL'
2004,Jena,1969-12-31,489-2646 Ante. St.,Eugene,9980,0001-10-20,2015-02-23
2005,Lenore,1969-12-31,Ap #983-1947 Dictum Av.,Reus,03361,2019-04-13,2014-10-30
2006,Hannah,1969-12-31,5502 Sit St.,La Higuera,62035,2019-02-18,0010-02-14
2007,Kenyon,1969-12-31,P.O. Box 629, 6235 Nisi Road,Yerba,2019-02-18,'NULL'
2008,Raja,1969-12-31,Ap #668-8860 Commodo Street,Bagh,19749,2019-02-18,2007-05-17
2009,Vivian,1969-12-31,9977 Adipiscing Street,Seborga,07617,2020-08-19,2018-11-17
2010,Yuli,1969-12-31,7645 Luctus Avenue,Redwater,41166,0001-12-21,0011-04-19
2011,Salvador,1969-12-31,9437 Sit Av.,Villers-aux-Tours,28066,0010-10-20,2012-03-24
2012,Jennifer,1969-12-31,P.O. Box 620, 1603 Pharetra Avenue,Shchy,2019-02-18,'NULL'
2013,Elaine,1969-12-31,869-8138 Sollicitudin St.,Telfs,70555,2020-07-30,2012-11-22
2014,Ferdinand,1969-12-31,6642 Fermentum Road,Attimis,61639,0001-04-20,2017-09-19
2015,Adrian,1969-12-31,Ap #776-4155 Aliquam St.,Poitiers,Y3 1D,2020-10-16,2012-09-22
2016,Cameron,1969-12-31,501-1322 Mi Av.,San Pietro al Tanagro,23787,0007-08-20,2018-04-16
2017,Venus,1969-12-31,5328 A St.,Montes Claros,70834,2019-06-24,2006-11-13
2018,Kirby,1969-12-31,P.O. Box 983, 4754 Nunc St.,Divin,2019-02-18,'NULL'
2019,Jenna,1969-12-31,275-2672 Quam Rd.,Lissewege,26665,2020-05-23,0002-12-09
2020,Jin,1969-12-31,Ap #352-4440 Proin St.,Penco,31-05,2021-01-30,0012-01-18
